"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSDm","2021-09-01 00:00:00.161Z",47078.06,47141.81
"exness","BTCUSDm","2021-09-01 00:00:01.187Z",47080.82,47141.28
"exness","BTCUSDm","2021-09-01 00:00:01.851Z",47070.34,47139.78
"exness","BTCUSDm","2021-09-01 00:00:02.694Z",47069.85,47139.65
"exness","BTCUSDm","2021-09-01 00:00:03.702Z",47067.64,47138.26
"exness","BTCUSDm","2021-09-01 00:00:04.764Z",47071.69,47139.86
"exness","BTCUSDm","2021-09-01 00:00:05.766Z",47070.59,47140.45
"exness","BTCUSDm","2021-09-01 00:00:07.239Z",47062.83,47137.01
"exness","BTCUSDm","2021-09-01 00:00:08.268Z",47063.02,47134.5
"exness","BTCUSDm","2021-09-01 00:00:08.910Z",47065.75,47138.73
"exness","BTCUSDm","2021-09-01 00:00:09.969Z",47070.07,47137.2
"exness","BTCUSDm","2021-09-01 00:00:11.024Z",47065.61,47142.24
"exness","BTCUSDm","2021-09-01 00:00:12.033Z",47072.72,47133.5
"exness","BTCUSDm","2021-09-01 00:00:13.065Z",47072.92,47133.15
"exness","BTCUSDm","2021-09-01 00:00:14.067Z",47068.7,47132.21
"exness","BTCUSDm","2021-09-01 00:00:15.039Z",47071.91,47134.75
"exness","BTCUSDm","2021-09-01 00:00:16.069Z",47074.11,47133.26
"exness","BTCUSDm","2021-09-01 00:00:16.725Z",47068.27,47133.58
"exness","BTCUSDm","2021-09-01 00:00:17.618Z",47063.09,47132.49
"exness","BTCUSDm","2021-09-01 00:00:18.643Z",47061.19,47130.34
"exness","BTCUSDm","2021-09-01 00:00:19.292Z",47063.75,47134.43
"exness","BTCUSDm","2021-09-01 00:00:20.260Z",47059,47132.23
"exness","BTCUSDm","2021-09-01 00:00:21.268Z",47057.72,47131.71
"exness","BTCUSDm","2021-09-01 00:00:22.269Z",47062.14,47133.84
"exness","BTCUSDm","2021-09-01 00:00:23.563Z",47064.78,47131.47
"exness","BTCUSDm","2021-09-01 00:00:24.406Z",47060.55,47129.37
"exness","BTCUSDm","2021-09-01 00:00:25.415Z",47061.4,47126.36
"exness","BTCUSDm","2021-09-01 00:00:26.389Z",47056.95,47124.72
"exness","BTCUSDm","2021-09-01 00:00:27.219Z",47053.41,47121.37
"exness","BTCUSDm","2021-09-01 00:00:27.461Z",47040.17,47120.51
"exness","BTCUSDm","2021-09-01 00:00:27.941Z",47051.68,47121.08
"exness","BTCUSDm","2021-09-01 00:00:28.842Z",47047.65,47118.4
"exness","BTCUSDm","2021-09-01 00:00:30.349Z",47049.83,47116.86
"exness","BTCUSDm","2021-09-01 00:00:30.949Z",47050.39,47122.68
"exness","BTCUSDm","2021-09-01 00:00:31.741Z",47054.01,47126.11
"exness","BTCUSDm","2021-09-01 00:00:32.866Z",47054.37,47121.32
"exness","BTCUSDm","2021-09-01 00:00:33.892Z",47057.01,47120.51
"exness","BTCUSDm","2021-09-01 00:00:34.899Z",47058.58,47118.87
"exness","BTCUSDm","2021-09-01 00:00:35.524Z",47055.21,47116.77
"exness","BTCUSDm","2021-09-01 00:00:36.543Z",47055.61,47115.43
"exness","BTCUSDm","2021-09-01 00:00:37.562Z",47056.76,47115.7
"exness","BTCUSDm","2021-09-01 00:00:38.448Z",47060.87,47122.33
"exness","BTCUSDm","2021-09-01 00:00:38.814Z",47062.98,47131.93
"exness","BTCUSDm","2021-09-01 00:00:39.412Z",47064,47131.78
"exness","BTCUSDm","2021-09-01 00:00:40.784Z",47060.61,47125.85
"exness","BTCUSDm","2021-09-01 00:00:41.834Z",47061.42,47124.12
"exness","BTCUSDm","2021-09-01 00:00:42.834Z",47063.11,47124.6
"exness","BTCUSDm","2021-09-01 00:00:43.841Z",47065.01,47125.46
"exness","BTCUSDm","2021-09-01 00:00:44.873Z",47065.28,47122.59
"exness","BTCUSDm","2021-09-01 00:00:45.889Z",47061.09,47122.72
"exness","BTCUSDm","2021-09-01 00:00:46.916Z",47063.14,47121.91
"exness","BTCUSDm","2021-09-01 00:00:47.444Z",47063.69,47126.67
"exness","BTCUSDm","2021-09-01 00:00:48.171Z",47059.74,47124.78
"exness","BTCUSDm","2021-09-01 00:00:49.008Z",47055.47,47122.95
"exness","BTCUSDm","2021-09-01 00:00:50.019Z",47055.86,47118.36
"exness","BTCUSDm","2021-09-01 00:00:50.630Z",47050.19,47118.27
"exness","BTCUSDm","2021-09-01 00:00:51.079Z",47037.86,47116.47
"exness","BTCUSDm","2021-09-01 00:00:51.865Z",47046.32,47112.75
"exness","BTCUSDm","2021-09-01 00:00:52.842Z",47052.11,47119.1
"exness","BTCUSDm","2021-09-01 00:00:53.445Z",47041.45,47122.02
"exness","BTCUSDm","2021-09-01 00:00:53.688Z",47024.53,47121.52
"exness","BTCUSDm","2021-09-01 00:00:54.768Z",47036.38,47109.78
"exness","BTCUSDm","2021-09-01 00:00:55.479Z",47040.3,47120.5
"exness","BTCUSDm","2021-09-01 00:00:56.321Z",47043.7,47134.15
"exness","BTCUSDm","2021-09-01 00:00:57.360Z",47052.83,47130.15
"exness","BTCUSDm","2021-09-01 00:00:57.882Z",47052.72,47124.1
